id,name,region,category,address,lon,lat,rating,imageUrl,memo
1779,미락소바,영등포/여의도/강서,돈까스,"서울 영등포구 당산로37길 4 (당산동4가)",126.89798003,37.52959785,0,https://via.placeholder.com/150,NULL
1780,"피자덕후 피자힙",강남,버거,"서울 강남구 선릉로157길 23 2층 (신사동)",127.0379446,37.52610659,0,https://via.placeholder.com/150,NULL
1781,선데이버거클럽,강남,버거,"서울 강남구 언주로170길 37 2층 201호 (신사동)",127.03673777,37.52661424,0,https://via.placeholder.com/150,NULL
1782,카츠바이콘반,강남,돈까스,"서울 강남구 선릉로153길 36 1층 (신사동)",127.03646085,37.52479791,0,https://via.placeholder.com/150,NULL
1783,"버거샵 청담점",강남,버거,"서울 강남구 선릉로158길 14-1 2층 (청담동)",127.04119879,37.52513332,0,https://via.placeholder.com/150,NULL
1784,"잭슨피자 압구정점",강남,버거,"서울 강남구 압구정로 144 1층 107호, 108호 (신사동)",127.02460293,37.52497937,0,https://via.placeholder.com/150,NULL
1785,세인트그릴,강남,버거,"서울 강남구 논현로175길 63 1층 (신사동)",127.02385825,37.52403527,0,https://via.placeholder.com/150,NULL
1786,패티앤베지스,강남,버거,"서울 강남구 압구정로4길 11 1층 (신사동)",127.02021505,37.52200239,0,https://via.placeholder.com/150,NULL
1787,"브루클린더버거조인트 가로수길점",강남,버거,"서울 강남구 도산대로15길 12 YG빌딩 1층 (신사동)",127.02409422,37.5190689,0,https://via.placeholder.com/150,NULL
1788,현우동,강남,돈까스,"서울 강남구 논현로149길 53 래성빌딩 101호 (논현동)",127.02428811,37.51700736,0,https://via.placeholder.com/150,NULL
1789,"정돈 강남점",강남,돈까스,"서울 강남구 강남대로110길 19-1 1층 (역삼동)",127.02644174,37.50393513,0,https://via.placeholder.com/150,NULL
1790,"버거스올마이티 강남역점",강남,버거,"서울 강남구 봉은사로2길 31 B102호 (역삼동)",127.0263689,37.50262508,0,https://via.placeholder.com/150,NULL
1791,피자아이코닉,강남,버거,"서울 강남구 언주로 615 논현 아이파크 103동 B131호 (논현동)",127.03620509,37.51056213,0,https://via.placeholder.com/150,NULL
1792,"원스타올드패션드 햄버거",강남,버거,"서울 강남구 논현로26길 23 1층 (도곡동)",127.04436623,37.482857,0,https://via.placeholder.com/150,NULL
1793,"파이어벨 대치점",강남,버거,"서울 강남구 선릉로72길 13 1층 (대치동)",127.0522047,37.500391,0,https://via.placeholder.com/150,NULL
1794,"오레노라멘 송파점",잠실/송파/강동,일식,"서울 송파구 백제고분로45길 17-3 1층 102호 (송파동)",127.1094304,37.50955652,0,https://via.placeholder.com/150,NULL
